poll_id,pollster_id,pollster,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,question_id,sample_size,population,population_full,race_id,party,candidate_name,pct
88832,1528,Washington Post/George Mason University,3.3,-0.0,Online Panel,5.9,Wisconsin,10/02/24,10/16/24,213419,1833,lv,lv,8796,DEM,Kamala Harris,50.7
88833,1528,AtlasIntel,2.2,0.9,Online Ad,9.7,Arizona,10/01/24,10/17/24,213420,2137,lv,lv,8797,REP,Kamala Harris,43.8
88834,1528,YouGov,2.4,0.3,Online Ad,6.5,Georgia,10/13/24,10/19/24,213421,1297,lv,lv,8798,DEM,Kamala Harris,50.9
88835,1528,AtlasIntel,3.0,-0.5,Online Ad,8.0,Georgia,10/01/24,10/20/24,213422,1757,rv,rv,8799,DEM,Kamala Harris,45.8
88836,1528,AtlasIntel,2.0,-0.7,Online Panel,7.8,Michigan,10/09/24,10/19/24,213423,1487,rv,rv,8800,DEM,Kamala Harris,45.2
88837,1528,AtlasIntel,3.3,1.2,Online Panel,6.3,Wisconsin,10/08/24,10/17/24,213424,2257,lv,lv,8801,REP,Donald Trump,53.9
88838,1528,YouGov,3.5,1.6,Live Phone/Text-to-Web/Email/Mail-to-Web,7.5,Nevada,10/02/24,10/18/24,213425,1381,rv,rv,8802,REP,Donald Trump,52.2
88839,1528,YouGov,3.3,1.0,Online Ad,6.8,Pennsylvania,10/14/24,10/19/24,213426,2112,lv,lv,8803,REP,Donald Trump,59.0
88840,1528,AtlasIntel,2.8,2.0,Online Panel,8.9,Nevada,10/11/24,10/17/24,213427,1009,lv,lv,8804,REP,Kamala Harris,57.2
88841,1528,Washington Post/George Mason University,2.9,-0.2,Online Panel,7.7,Nevada,10/11/24,10/20/24,213428,989,rv,rv,8805,REP,Donald Trump,54.6
88842,1528,Washington Post/George Mason University,2.4,2.0,Online Panel,9.9,Arizona,10/11/24,10/20/24,213429,2485,lv,lv,8806,REP,Kamala Harris,45.6
88843,1528,YouGov,3.0,-0.6,Online Panel,9.7,Michigan,10/05/24,10/18/24,213430,957,rv,rv,8807,REP,Donald Trump,42.6
88844,1528,YouGov,3.3,-1.5,Online Ad,8.5,Nevada,10/04/24,10/18/24,213431,1993,lv,lv,8808,DEM,Donald Trump,51.8
88845,1528,AtlasIntel,2.4,-1.9,Live Phone/Text-to-Web/Email/Mail-to-Web,5.2,Georgia,10/14/24,10/18/24,213432,2304,rv,rv,8809,REP,Kamala Harris,46.5
88846,1528,YouGov,3.2,-0.5,Live Phone/Text-to-Web/Email/Mail-to-Web,8.8,Arizona,10/06/24,10/19/24,213433,729,rv,rv,8810,DEM,Donald Trump,48.3
88847,1528,YouGov,2.3,0.9,Online Ad,7.5,Nevada,10/11/24,10/18/24,213434,2174,rv,rv,8811,REP,Kamala Harris,45.6
88848,1528,AtlasIntel,3.4,-0.4,Live Phone/Text-to-Web/Email/Mail-to-Web,6.8,Arizona,10/07/24,10/16/24,213435,792,rv,rv,8812,REP,Kamala Harris,42.5
88849,1528,YouGov,3.4,1.8,Online Ad,7.8,Georgia,10/10/24,10/19/24,213436,1444,rv,rv,8813,REP,Donald Trump,44.9
88850,1528,YouGov,2.2,0.3,Online Ad,9.6,Arizona,10/01/24,10/19/24,213437,2082,rv,rv,8814,REP,Donald Trump,50.9
88851,1528,Washington Post/George Mason University,2.9,-0.2,Online Ad,8.3,Georgia,10/08/24,10/16/24,213438,776,rv,rv,8815,REP,Donald Trump,59.8
88852,1528,AtlasIntel,3.0,1.1,Online Panel,9.7,Nevada,10/08/24,10/17/24,213439,1167,rv,rv,8816,REP,Kamala Harris,52.0
88853,1528,AtlasIntel,2.1,-1.4,Live Phone/Text-to-Web/Email/Mail-to-Web,7.0,Michigan,10/04/24,10/18/24,213440,1786,lv,lv,8817,REP,Donald Trump,51.1
88854,1528,AtlasIntel,2.6,0.0,Online Ad,8.0,Nevada,10/07/24,10/20/24,213441,1474,lv,lv,8818,DEM,Kamala Harris,48.0
88855,1528,Washington Post/George Mason University,3.4,0.7,Live Phone/Text-to-Web/Email/Mail-to-Web,8.8,Georgia,10/10/24,10/20/24,213442,1167,lv,lv,8819,DEM,Kamala Harris,52.4
88856,1528,YouGov,2.4,1.9,Online Panel,6.2,Georgia,10/08/24,10/16/24,213443,797,rv,rv,8820,DEM,Kamala Harris,51.0
88857,1528,Washington Post/George Mason University,2.0,0.1,Live Phone/Text-to-Web/Email/Mail-to-Web,9.5,Michigan,10/06/24,10/18/24,213444,702,lv,lv,8821,REP,Kamala Harris,43.5
88858,1528,AtlasIntel,2.9,-0.1,Online Panel,6.2,Georgia,10/13/24,10/16/24,213445,2258,lv,lv,8822,DEM,Donald Trump,50.1
88859,1528,YouGov,2.6,-1.0,Online Ad,9.9,Michigan,10/07/24,10/16/24,213446,1390,lv,lv,8823,REP,Kamala Harris,48.2
88860,1528,AtlasIntel,3.2,-0.6,Online Ad,9.5,Arizona,10/12/24,10/18/24,213447,2456,rv,rv,8824,REP,Kamala Harris,43.4
88861,1528,AtlasIntel,3.3,1.3,Online Ad,5.0,Wisconsin,10/04/24,10/17/24,213448,621,lv,lv,8825,REP,Donald Trump,53.3
88862,1528,YouGov,3.2,1.3,Online Ad,5.7,Wisconsin,10/04/24,10/20/24,213449,1800,rv,rv,8826,REP,Donald Trump,42.4
88863,1528,AtlasIntel,2.6,1.5,Online Panel,8.5,Arizona,10/02/24,10/16/24,213450,1979,rv,rv,8827,REP,Donald Trump,41.8
88864,1528,Washington Post/George Mason University,2.4,0.4,Live Phone/Text-to-Web/Email/Mail-to-Web,6.3,North Carolina,10/01/24,10/16/24,213451,931,lv,lv,8828,REP,Donald Trump,47.7
88865,1528,Washington Post/George Mason University,2.6,-1.8,Online Panel,8.3,Arizona,10/06/24,10/19/24,213452,1730,rv,rv,8829,REP,Kamala Harris,46.8
88866,1528,AtlasIntel,3.0,0.0,Live Phone/Text-to-Web/Email/Mail-to-Web,7.0,Michigan,10/05/24,10/16/24,213453,1706,rv,rv,8830,DEM,Kamala Harris,54.4
88867,1528,AtlasIntel,3.0,0.0,Live Phone/Text-to-Web/Email/Mail-to-Web,9.2,North Carolina,10/10/24,10/20/24,213454,1810,rv,rv,8831,DEM,Donald Trump,46.7
88868,1528,YouGov,3.2,1.9,Online Ad,7.6,North Carolina,10/04/24,10/17/24,213455,1954,lv,lv,8832,DEM,Kamala Harris,51.4
88869,1528,YouGov,2.6,-1.2,Live Phone/Text-to-Web/Email/Mail-to-Web,7.6,Nevada,10/09/24,10/18/24,213456,2473,rv,rv,8833,REP,Donald Trump,53.8
88870,1528,Washington Post/George Mason University,3.2,0.4,Online Panel,5.3,Wisconsin,10/03/24,10/20/24,213457,2146,rv,rv,8834,DEM,Kamala Harris,58.3
88871,1528,YouGov,2.6,0.2,Online Panel,8.5,Michigan,10/02/24,10/18/24,213458,927,rv,rv,8835,DEM,Kamala Harris,40.3
88872,1528,YouGov,2.5,1.0,Live Phone/Text-to-Web/Email/Mail-to-Web,6.4,Wisconsin,10/07/24,10/16/24,213459,823,rv,rv,8836,REP,Donald Trump,59.2
88873,1528,YouGov,2.1,1.9,Online Ad,5.8,Georgia,10/04/24,10/17/24,213460,1728,lv,lv,8837,REP,Kamala Harris,57.9
88874,1528,Washington Post/George Mason University,2.7,0.2,Online Panel,6.3,Wisconsin,10/13/24,10/17/24,213461,2238,rv,rv,8838,DEM,Donald Trump,49.6
88875,1528,AtlasIntel,2.7,0.8,Online Panel,7.1,North Carolina,10/02/24,10/17/24,213462,1642,lv,lv,8839,DEM,Kamala Harris,48.6
88876,1528,AtlasIntel,2.0,-0.2,Online Panel,8.8,North Carolina,10/11/24,10/19/24,213463,812,lv,lv,8840,REP,Kamala Harris,54.1
88877,1528,AtlasIntel,2.9,1.1,Live Phone/Text-to-Web/Email/Mail-to-Web,7.9,Michigan,10/14/24,10/20/24,213464,1782,lv,lv,8841,DEM,Kamala Harris,57.6
88878,1528,YouGov,2.7,1.9,Online Ad,6.1,North Carolina,10/04/24,10/20/24,213465,665,lv,lv,8842,REP,Kamala Harris,53.8
88879,1528,Washington Post/George Mason University,2.3,-0.1,Live Phone/Text-to-Web/Email/Mail-to-Web,6.0,Arizona,10/04/24,10/20/24,213466,1070,lv,lv,8843,DEM,Donald Trump,50.3
88880,1528,Washington Post/George Mason University,3.4,1.6,Online Panel,9.3,Wisconsin,10/12/24,10/16/24,213467,1157,rv,rv,8844,DEM,Donald Trump,59.8
88881,1528,YouGov,2.3,0.1,Online Panel,7.0,Michigan,10/02/24,10/20/24,213468,1901,rv,rv,8845,REP,Kamala Harris,46.4
88882,1528,AtlasIntel,3.3,-1.1,Live Phone/Text-to-Web/Email/Mail-to-Web,8.6,Nevada,10/10/24,10/17/24,213469,1203,lv,lv,8846,REP,Kamala Harris,55.7
88883,1528,YouGov,2.6,1.8,Online Panel,9.8,Michigan,10/09/24,10/16/24,213470,1556,rv,rv,8847,REP,Kamala Harris,42.4
88884,1528,Washington Post/George Mason University,2.2,1.7,Online Panel,5.1,North Carolina,10/13/24,10/18/24,213471,2081,rv,rv,8848,REP,Kamala Harris,52.9
88885,1528,YouGov,2.4,1.3,Live Phone/Text-to-Web/Email/Mail-to-Web,9.0,Pennsylvania,10/06/24,10/19/24,213472,896,rv,rv,8849,REP,Kamala Harris,57.2
88886,1528,Washington Post/George Mason University,3.5,-1.3,Live Phone/Text-to-Web/Email/Mail-to-Web,7.0,Georgia,10/01/24,10/18/24,213473,756,rv,rv,8850,REP,Kamala Harris,52.2
88887,1528,Washington Post/George Mason University,3.1,-0.1,Online Panel,9.2,Nevada,10/10/24,10/20/24,213474,1611,lv,lv,8851,REP,Donald Trump,57.1
88888,1528,YouGov,2.7,1.0,Live Phone/Text-to-Web/Email/Mail-to-Web,9.1,Wisconsin,10/12/24,10/16/24,213475,1661,lv,lv,8852,DEM,Kamala Harris,52.0
88889,1528,AtlasIntel,2.9,-2.0,Online Panel,5.5,Arizona,10/03/24,10/16/24,213476,1971,rv,rv,8853,DEM,Kamala Harris,45.9
88890,1528,Washington Post/George Mason University,2.7,1.1,Online Ad,8.0,Wisconsin,10/04/24,10/20/24,213477,1258,lv,lv,8854,DEM,Kamala Harris,44.3
88891,1528,YouGov,3.0,0.9,Online Ad,9.6,North Carolina,10/01/24,10/17/24,213478,2487,rv,rv,8855,REP,Kamala Harris,56.3
88892,1528,AtlasIntel,2.8,-1.4,Live Phone/Text-to-Web/Email/Mail-to-Web,5.2,Nevada,10/14/24,10/18/24,213479,1913,rv,rv,8856,REP,Kamala Harris,47.4
88893,1528,YouGov,2.4,0.1,Online Panel,8.1,North Carolina,10/12/24,10/18/24,213480,780,lv,lv,8857,DEM,Kamala Harris,50.1
88894,1528,YouGov,2.1,-0.7,Online Ad,6.1,Nevada,10/08/24,10/16/24,213481,2374,rv,rv,8858,REP,Kamala Harris,41.8
88895,1528,AtlasIntel,2.9,-0.4,Online Ad,9.7,Nevada,10/02/24,10/18/24,213482,1157,rv,rv,8759,REP,Kamala Harris,57.7
88896,1528,AtlasIntel,2.2,-1.8,Live Phone/Text-to-Web/Email/Mail-to-Web,9.4,Arizona,10/01/24,10/16/24,213483,1900,lv,lv,8760,REP,Donald Trump,56.9
88897,1528,AtlasIntel,2.3,2.0,Online Panel,7.3,Georgia,10/01/24,10/17/24,213484,1905,lv,lv,8761,DEM,Donald Trump,51.7
88898,1528,Washington Post/George Mason University,2.7,0.3,Online Panel,7.7,Pennsylvania,10/11/24,10/20/24,213485,2095,rv,rv,8762,REP,Kamala Harris,50.2
88899,1528,Washington Post/George Mason University,2.1,-0.3,Online Panel,9.9,North Carolina,10/07/24,10/20/24,213486,1944,lv,lv,8763,DEM,Donald Trump,41.3
88900,1528,Washington Post/George Mason University,2.9,-0.9,Live Phone/Text-to-Web/Email/Mail-to-Web,8.2,Georgia,10/13/24,10/17/24,213487,1496,rv,rv,8764,DEM,Kamala Harris,41.8
88901,1528,YouGov,2.2,0.6,Online Panel,6.5,North Carolina,10/12/24,10/17/24,213488,1655,lv,lv,8765,REP,Kamala Harris,44.5
88902,1528,Washington Post/George Mason University,3.4,-1.5,Online Panel,8.5,Nevada,10/01/24,10/17/24,213489,2389,rv,rv,8766,REP,Kamala Harris,52.9
88903,1528,YouGov,3.2,-0.2,Online Panel,5.0,North Carolina,10/07/24,10/19/24,213490,1693,lv,lv,8767,DEM,Kamala Harris,55.8
88904,1528,YouGov,3.2,-1.8,Live Phone/Text-to-Web/Email/Mail-to-Web,5.1,North Carolina,10/10/24,10/19/24,213491,2017,rv,rv,8768,REP,Kamala Harris,44.6
88905,1528,YouGov,3.1,-0.3,Live Phone/Text-to-Web/Email/Mail-to-Web,9.6,Georgia,10/09/24,10/18/24,213492,1245,lv,lv,8769,DEM,Kamala Harris,52.9
88906,1528,AtlasIntel,2.4,1.6,Online Panel,7.4,Wisconsin,10/10/24,10/18/24,213493,1450,lv,lv,8770,DEM,Donald Trump,51.3
88907,1528,AtlasIntel,3.1,-1.9,Online Ad,6.2,North Carolina,10/05/24,10/18/24,213494,1409,rv,rv,8771,REP,Donald Trump,56.9
88908,1528,AtlasIntel,2.1,-0.3,Online Panel,6.8,North Carolina,10/01/24,10/20/24,213495,1169,rv,rv,8772,DEM,Donald Trump,58.4
88909,1528,AtlasIntel,2.2,1.9,Online Ad,9.2,Nevada,10/06/24,10/18/24,213496,1986,lv,lv,8773,REP,Kamala Harris,53.4
88910,1528,YouGov,2.5,-1.0,Online Ad,5.4,Pennsylvania,10/04/24,10/16/24,213497,811,lv,lv,8774,DEM,Kamala Harris,44.4
88911,1528,AtlasIntel,2.8,-0.5,Online Ad,8.6,Michigan,10/08/24,10/19/24,213498,997,lv,lv,8775,REP,Kamala Harris,49.8
88912,1528,Washington Post/George Mason University,2.9,-1.1,Online Panel,8.1,Wisconsin,10/10/24,10/18/24,213499,1855,lv,lv,8776,DEM,Kamala Harris,51.3
88913,1528,YouGov,3.3,-1.1,Online Ad,6.7,North Carolina,10/15/24,10/19/24,213500,1954,rv,rv,8777,REP,Donald Trump,51.2
88914,1528,Washington Post/George Mason University,3.0,-0.6,Online Ad,7.8,Michigan,10/06/24,10/16/24,213501,974,rv,rv,8778,DEM,Donald Trump,50.3
88915,1528,AtlasIntel,2.3,0.1,Online Ad,5.3,Nevada,10/04/24,10/16/24,213502,710,rv,rv,8779,REP,Kamala Harris,51.3
88916,1528,AtlasIntel,3.2,-0.5,Online Ad,8.9,Georgia,10/05/24,10/18/24,213503,1487,rv,rv,8780,REP,Donald Trump,50.3
88917,1528,AtlasIntel,3.5,-1.1,Online Ad,8.6,North Carolina,10/11/24,10/16/24,213504,2072,rv,rv,8781,DEM,Donald Trump,48.7
88918,1528,YouGov,2.9,-1.1,Live Phone/Text-to-Web/Email/Mail-to-Web,5.5,Arizona,10/04/24,10/16/24,213505,1028,lv,lv,8782,DEM,Kamala Harris,44.1
88919,1528,AtlasIntel,2.7,-0.9,Live Phone/Text-to-Web/Email/Mail-to-Web,8.2,Nevada,10/15/24,10/17/24,213506,1251,rv,rv,8783,DEM,Donald Trump,51.7
88920,1528,YouGov,3.4,1.4,Live Phone/Text-to-Web/Email/Mail-to-Web,8.7,Pennsylvania,10/03/24,10/18/24,213507,1193,lv,lv,8784,REP,Donald Trump,43.5
88921,1528,AtlasIntel,2.3,-0.7,Online Ad,6.1,North Carolina,10/03/24,10/17/24,213508,2341,rv,rv,8785,DEM,Donald Trump,54.3
88922,1528,YouGov,2.9,0.4,Online Ad,5.1,Michigan,10/03/24,10/18/24,213509,877,rv,rv,8786,DEM,Donald Trump,46.4
88923,1528,YouGov,2.0,0.2,Online Panel,7.1,Georgia,10/03/24,10/17/24,213510,993,lv,lv,8787,REP,Donald Trump,59.9
88924,1528,Washington Post/George Mason University,2.4,1.8,Online Panel,5.8,Michigan,10/04/24,10/20/24,213511,1718,lv,lv,8788,REP,Kamala Harris,59.8
88925,1528,YouGov,3.0,-0.1,Online Panel,8.3,North Carolina,10/03/24,10/17/24,213512,627,rv,rv,8789,REP,Kamala Harris,59.6
88926,1528,AtlasIntel,3.3,1.5,Live Phone/Text-to-Web/Email/Mail-to-Web,5.9,Michigan,10/03/24,10/17/24,213513,1304,rv,rv,8790,DEM,Kamala Harris,45.1
88927,1528,AtlasIntel,3.5,-0.4,Online Panel,9.8,Georgia,10/14/24,10/20/24,213514,802,lv,lv,8791,DEM,Donald Trump,41.9
88928,1528,AtlasIntel,2.9,0.6,Online Ad,5.9,North Carolina,10/07/24,10/18/24,213515,1884,rv,rv,8792,DEM,Donald Trump,43.8
88929,1528,Washington Post/George Mason University,2.6,0.6,Online Ad,7.7,North Carolina,10/14/24,10/16/24,213516,1844,lv,lv,8793,REP,Donald Trump,43.4
88930,1528,Washington Post/George Mason University,2.8,-0.4,Online Panel,8.3,Pennsylvania,10/09/24,10/17/24,213517,1559,rv,rv,8794,REP,Kamala Harris,57.7
88931,1528,AtlasIntel,3.4,-1.0,Live Phone/Text-to-Web/Email/Mail-to-Web,5.1,Michigan,10/03/24,10/16/24,213518,879,rv,rv,8795,DEM,Kamala Harris,59.2
88932,1528,YouGov,2.4,1.8,Online Panel,6.1,Michigan,10/09/24,10/16/24,213519,601,rv,rv,8796,REP,Donald Trump,58.5
88933,1528,YouGov,3.0,0.7,Online Panel,7.0,Pennsylvania,10/06/24,10/18/24,213520,2095,rv,rv,8797,REP,Kamala Harris,42.1
88934,1528,Washington Post/George Mason University,3.1,0.1,Online Panel,7.6,Georgia,10/12/24,10/17/24,213521,2253,lv,lv,8798,REP,Kamala Harris,55.6
88935,1528,AtlasIntel,2.1,0.1,Live Phone/Text-to-Web/Email/Mail-to-Web,6.9,Wisconsin,10/02/24,10/18/24,213522,817,rv,rv,8799,REP,Kamala Harris,53.6
88936,1528,AtlasIntel,3.1,-0.0,Online Ad,9.4,Michigan,10/08/24,10/19/24,213523,610,rv,rv,8800,REP,Kamala Harris,52.5
88937,1528,AtlasIntel,2.7,-1.9,Live Phone/Text-to-Web/Email/Mail-to-Web,5.7,Nevada,10/04/24,10/18/24,213524,2006,rv,rv,8801,DEM,Kamala Harris,45.9
88938,1528,YouGov,3.4,1.8,Online Panel,5.4,Nevada,10/07/24,10/17/24,213525,901,rv,rv,8802,DEM,Donald Trump,47.2
88939,1528,AtlasIntel,2.1,-1.9,Online Ad,8.3,Georgia,10/05/24,10/16/24,213526,2301,lv,lv,8803,REP,Kamala Harris,48.0
88940,1528,YouGov,2.6,0.2,Live Phone/Text-to-Web/Email/Mail-to-Web,5.1,North Carolina,10/14/24,10/18/24,213527,1531,rv,rv,8804,DEM,Kamala Harris,48.5
88941,1528,YouGov,2.2,-1.5,Live Phone/Text-to-Web/Email/Mail-to-Web,9.7,Georgia,10/09/24,10/18/24,213528,1623,rv,rv,8805,REP,Kamala Harris,47.1
88942,1528,Washington Post/George Mason University,2.4,1.9,Online Panel,7.6,Wisconsin,10/09/24,10/16/24,213529,2055,rv,rv,8806,REP,Kamala Harris,55.9
88943,1528,AtlasIntel,2.4,-0.5,Online Ad,7.5,North Carolina,10/15/24,10/19/24,213530,2039,lv,lv,8807,DEM,Kamala Harris,49.6
88944,1528,YouGov,2.7,-1.3,Live Phone/Text-to-Web/Email/Mail-to-Web,6.9,Arizona,10/07/24,10/18/24,213531,1853,rv,rv,8808,DEM,Donald Trump,55.1
88945,1528,YouGov,3.4,1.0,Online Ad,9.6,Georgia,10/12/24,10/18/24,213532,2260,rv,rv,8809,REP,Kamala Harris,52.3
88946,1528,YouGov,2.1,-1.0,Live Phone/Text-to-Web/Email/Mail-to-Web,7.2,North Carolina,10/15/24,10/19/24,213533,2383,lv,lv,8810,REP,Kamala Harris,59.6
88947,1528,AtlasIntel,3.0,0.9,Online Panel,6.2,North Carolina,10/09/24,10/16/24,213534,1160,lv,lv,8811,DEM,Donald Trump,42.8
88948,1528,AtlasIntel,3.5,-1.1,Live Phone/Text-to-Web/Email/Mail-to-Web,5.1,Georgia,10/13/24,10/17/24,213535,2332,lv,lv,8812,REP,Donald Trump,51.1
88949,1528,YouGov,2.5,0.2,Live Phone/Text-to-Web/Email/Mail-to-Web,7.3,Pennsylvania,10/15/24,10/19/24,213536,1513,lv,lv,8813,DEM,Kamala Harris,55.4
88950,1528,AtlasIntel,3.0,1.4,Online Ad,8.9,Michigan,10/03/24,10/17/24,213537,1860,rv,rv,8814,DEM,Donald Trump,41.4
88951,1528,Washington Post/George Mason University,2.9,-1.8,Live Phone/Text-to-Web/Email/Mail-to-Web,8.0,Pennsylvania,10/15/24,10/16/24,213538,2265,rv,rv,8815,REP,Donald Trump,46.9
88952,1528,AtlasIntel,2.2,-1.4,Online Panel,5.8,Nevada,10/04/24,10/18/24,213539,1630,rv,rv,8816,REP,Kamala Harris,52.9
88953,1528,Washington Post/George Mason University,3.1,0.7,Online Ad,9.8,North Carolina,10/15/24,10/18/24,213540,1132,lv,lv,8817,REP,Donald Trump,57.4
88954,1528,AtlasIntel,2.3,1.0,Online Ad,8.4,Michigan,10/15/24,10/16/24,213541,2067,rv,rv,8818,REP,Kamala Harris,54.2
